answer	question
hi once you ejaculate sperm is dying if lands on anything again its dying and does not last to long just minuets and its dead. your ok your safe. good luck	did i get someone pregnant cause of possible sperm on the loofa? . after masturbation i went to shower to clean sperm off of leg n crotch w/ loofa. . can cleaning sperm with a loofa with. soap-free body wash. (aveeno - i heard soap-free cannot kill semen/sperm) and moderately warm water ever pregnant the next person that uses it (30 mins after)? i've been super paranoid that there could be remaining semen/sperm on the loofa that would pregnant one of my family members.
the common primary symptoms of lactose intolerance are gastrointestinal include: abdominal pain diarrhea flatulence (passing gas) less common symptoms of lactose intolerance include: abdominal bloating abdominal distention nausea unfortunately these symptoms can be caused by several gastrointestinal conditions or diseases so the presence of these symptoms is not very good at predicting whether a person has lactase deficiency or lactose intolerance. symptoms occur because the unabsorbed lactose passes through the small intestine and into the colon. in the colon one type of normal bacterium contains lactase and is able to split the lactose and use the resulting glucose and galactose for its own purposes. unfortunately when they use the glucose and galactose these bacteria also release hydrogen gas. some of the gas is absorbed from the colon and into the body and is then expelled by the lungs in the breath. most of the hydrogen however is used up in the colon by other bacteria. a small proportion of the hydrogen gas is expelled and is responsible for the increased flatulence (passing gas). some people have an additional type of bacterium in their colons that changes the hydrogen gas into methane gas and these people will excrete only methane or both hydrogen and methane gas in their breath and flatus. not all of the lactose that reaches the colon is split and used by colonic bacteria. the unsplit lactose in the colon draws water into the colon (by osmosis). this leads to loose diarrheal stools. the severity of the symptoms of lactose intolerance varies greatly from person to person. one reason for this variability is that people have different amounts of lactose in their diet; the more lactose in the diet the more likely and severe the symptoms. another reason for the variability is that people have differing severities of lactase deficiency that is they may have mild moderate or severe reduction in the amounts of lactase in their intestines. thus small amounts of lactose will cause major symptoms in severely lactase deficient people but only mild or no symptoms in mildly lactase deficient people. finally people may have different responses to the same amount of lactose reaching the colon. whereas some may have mild or no symptoms others may have moderate symptoms. the reason for this is not clear but may relate to differences in their intestinal bacteria.	what are the symptoms of lactose intolerance?
while there are no drug interactions between adderall xr and nyquil i would not recommend nyquil for a sore throat. nyquil contains 4 medications including medications for symptoms you do not seem to have. always ask your pharmacist to recommend the best over-the-counter medication for your symptoms.	i am taking 15 mg of adderall xr. i have a sore throat. is it okay to take nyquil?
chronic cough may be due to underlying lung infection. get his chest xray done. hard tummy may be due to coughing. consult a pediatric doctor	My son is 8 months old and coughs all the time and has a hard tummy?
if you have been attempting pregnancy for three years and have not conceived you and your partner need to see a fertility specialist to determine the reason(s) why you are having problems.	im 25 trying to get pregnant for the past 3 years. havnt had period since dec 10 2013 test pregnancy test shows negative
sinusitis and tonsillitis are not technically contagious. exposing someone else will not necessarily give them you exact same disease. it is the germs (bacteria viruses) that can be contagious but exposure to those germs will not necessarily result in the same or any disease since everyone's immune system is different. viruses are the most common pathogens and most respiratory viruses that cause sinusitis or tonsillitis are thought to be transmittable by close contact for a day before you know you are ill and for 2-3 days later. mono is a virus that can cause tonsillitis and mono is contagious for a longer period of time. again exposure does not imply that someone would get anything else by a simple cold. strep can cause both tonsillitis and sinusitis and this bacteria is contagious as long as you are contagious or until the end of your antibiotic course. strep will not just jump out of your throat or nose onto someone else but sharing drinks kissing sneezing in someone's face can certain expose others. if their immune system is susceptible to strep they can certainly get it.	how long are you contagious to other people when you have sinusitis and tonsilitis?
hi do hope you looked up the side effects of depo shot before you went on it just google depo shot side effects makes for some grim reading. good luck	how soon does depo prevara protect? had first shot june 24th within 5 days of last period?
that could be ibs and gastritis or duodenitis you can get assured by doing a h. pylori test and gi endoscopy. try healthy diet full of fibers and avoid citrus fruits and caffeine as well as fatty foods.	I have been getting stomach pain that feels like a bad gnawing  pain?
it all depends what prescription meds we are referring to. i would have to ask this patient what else are they on? now tylenol pm and nyquil and those products do contain acetaminophen or tylenol in them. tylenol pm also contains benadryl or diphenhydramine and if they are taken with other products or other prescription meds we could have some side effect issues like increased drowsiness. also we want to make sure that people don't overdose on tylenol or acetaminophen and they may not realize that it may be in some of their prescription products. nyquil we also need to know which nyquil they are on. sometimes there is different versions of nyquil that might have a cough suppressant or a nasal decongestant or it does contain alcohol. so we want to be real careful about the patients that are taking that. we want to make sure too that they are not taking them together. i always encourage patients to come and talk to the pharmacist. labels can be confusing and now when you go down the cough and cold aisle everything sometimes looks the same but we have to read the box and we have to see what the ingredients are and what the dosing is. if you have your medication list on you as a pharmacist i can make sure that there will be no interactions or problems down the road with your other prescription medications other otcs or vitamins and herbal supplements.	are tylenol pm or nyquil safe to take with prescription meds?
ibuprofen can cause gastritis and stomach ulcers but i would really have no way of knowing if this is the cause of your boyfriend's symptoms. he would be wise to see a medical provider so he can be properly examined diagnosed and treated.	my boyfriend takes ibuprofen every day. he lost his appetite has nausea & a bad stomachache could it be an ulcer? . i do not think he has a stomach virus because he has not thrown up. also i have been exposed to him (i live with him) and i am immune deficient but have not gotten ill.
yes it can be related. my thyroid was removed in 1973 when i was 21 yrs. old due to benign adenoma. i took armour for 10 yrs. then switched to synthroid for 10 yrs. in 1991 i began having severe hives and red burned face. my family dr. immediately suspected thyroid meds. allergists insisted no way was it that. i suffered for 8 months until my gynecologist took me off synthroid hives immediately began subsiding then on armour and hives returned but looked different. took me off all hormone for 6 weeks and follow up with endocrinologist. said i would feel very tired - but i felt great. all my levels were normal and have remained so for 21 yrs.	i've been taking levothyroxin for over a year. i have developed a rash/hives that comes and goes. is this related?
first i'm not a real fan of any of these over-the-counter or prescription meds. they usually just depress appetite short term and most of the time people develop a resistance to their effects anyway. the suppressants usually have a short life -- over the course of 24-48 hours. however i have no idea what you're taking. there are countless appetite suppressants on the market. i'd need to know precisely what's in the ones you're taking. most have some kind of amphetamine derivative. it is for this reason that i'm concerned that you have other health issues. most of the appetite meds are contraindicated if you have high blood pressure or heart issues. as well many of them adversely interact with a whole host of medications out there. please don't be playing poly-pharmacy on your own. please work with your medical team and tell them what you're taking so that you can all work together for the best outcome. hey i have a radical idea. instead of popping pills join us on this board and on webmd and let's team together to do more physical activity and eat more heathfully so that you can shed those excess fat pounds get healthy and get on with life. you game?	how long does it take for appetite supplements to leave the system? i need to start taking medicine for health reasons.
light moisture and excessive heat can reduce the potency of vitamins and mineral supplements. so the best place to store supplements is in a cool dry location -- in a kitchen pantry or a bedside table for instance. don't refrigerate vitamin and mineral supplements. taking them from refrigeration to room temperature can cause condensation inside the bottle. certain non-vitamin supplements should be refrigerated however. labels usually indicate when a supplement should be kept in the refrigerator. in the case of all supplements it's always a good idea to check the expiration date.	what's the best way to store vitamins and minerals?
order 100% legit n safe medical marijuana pain relievers cbd oils dabs and more. for more info text (505) 807-7504 lisanblakeretailshop@gmail. com medical marijuana is good for your health top medical strains for all patients suffering from depression glaucoma anxiety and tension headaches chronic pain and nausea mental and physical fatigue and for calming aromatherapy then you are in the right place to look in our meds all top grade aa+ with high level of cbd and thc contact for your supply and good health. pain killers medical marijuana act. lean ***(( no prescribtion is needed))) bud seeds harsh oils dabs & other m. m treatments. we also sefely and securely deliver all sorts of generic medication and syrup nationwide at very good prices. no prescribtions needed. legit verified and reputed plug. available in the u. s canada australia and the uk. for more info text (505) 807-7504 lisanblakeretailshop@gmail. com. thank you. dffg	i have a lump on my chest lots of pain and i'm tired all the time. i have a family history of cancer should i worry? . i'm 35 years old female with a strong family history of cancer. about 6 months ago i found a small lump on my chest but didn't think anything of it. about a month ago it started getting a little bigger and my breast started to swell. than i started having a lot of pain in that area so much so sometimes it hurts to use my arm. i have been tired all the time and have no energy. i have also been running a small fever off and on. should i be worried?
anemia is the one of the main causes for palpitations wt loss anxiety …take iron supplementsdo thyroid profile may be you are experiencing symptoms of thyrotoxicosis…	Over a year ago I started experiencing fatigue, heart flutters, weight loss?
it's a terrific investment. everyone i know who has one loves it and these are people who don't like to exercise. you can play sports on it (tennis is awesome) and you can compete against family members and friends which can be lots of fun. start with the basic wii with just the basic sports like tennis and then you can add more form there.	i'm not getting exercise now. would a wii console and the wii fit game help me work toward my fitness goals?
unfortunately there is no way to specifically target fat around your abdomen. you may see products or equipment that advertise as being effective to lose belly fat but these are all exploiting a myth called “spot reduction”. just because you exercise your abdominal muscles doesn’t necessarily mean that the surrounding fat from that specific area is being targeted for fat loss. abdominal exercises may help provide a more “toned” appearance through muscle growth but only if you’re at a certain body fat percentage to begin with. doing abdominal exercises may help to strengthen or grow your abdominal muscles but they won’t help you lose fat around that area. the only way to lose weight around your waist is proper diet and exercise in general. unfortunately some people have a specific body type where fat tends to be stored mostly around their waist. your body will ultimately determines where you weight loss comes from. if you would like to still do abdominal exercises check out the ace fitness exercise library for specific exercises located here: <link>	how can i lose wight around my waist? . i'm a female 52 yrs old and lost my thin waist shape from gaining weight there. what exercises can i do to regain my thin waist?
for a temporary change the obvious answer is to use a commercial lip plumper and see how it goes. more and more cosmetics companies are bringing out lip plumpers some already tinted some not. lip plumpers can be surprisingly effective; in a few cases users not only get strikingly fuller lips but the results last up to eight hours as well. to be honest though the effects of most lip plumpers rarely last more than an hour especially if users eat or drink. most lip plumpers use an irritant such as cinnamon wintergreen or ginger that causes enough of a reaction to make the lips swell and look temporarily fuller. some of them especially those with higher concentrations of cinnamon and wintergreen can really make the lips burn sometimes quite painfully. and that burning sensation applies not only to the woman who used a plumper on her lips but to anybody she kisses as well. if your significant other is allergic i’d stay away from these plumpers; obviously people with sensitive skin should also avoid them because they may get a whole lot more than they bargained for. never use lip plumpers on cracked lips or on cold sores because the pain can be excruciating. less irritating plumpers are those with retinol or oligopeptides both of which stimulate collagen production. the advantage to these plumpers is that with repeated use lips will not only look fuller but smoother and less wrinkled. a warning: retinol increases sun sensitivity. i recommend that lip plumpers with retinol be used only at night. for a longer-lasting look you’d have to go with fillers usually hyaluronic acid fillers; my two favorites are prevelle silk and juvederm. in my experience prevelle silk gives a more subtle look while juvederm lasts longer. these lip fillers cost $750- $1000 and last three to four months. some people just want to define their lips so they get a tiny amount of filler injected all around the lip border; their lips stand out more but without added volume. this technique is especially popular with women over forty because the lip border becomes less distinct with age. i would never ever recommend more permanent procedures such as silicone injections or lip implants. with silicone injections problems such as lumps and irregular or asymmetrical lips are actually pretty common and lip implants frequently look artificial. think before you get lip fillers. if you want to see how you would look with fuller lips then try lip plumpers first and see if you like the way you look. when buying a lip plumper or any other beauty product try to read and decipher the ingredients contained in the product in order to see how the plumping or moisturising will occur. also remember that most lip plumpers will eventually result in drying of the lips as most of the plumping ingredients act as an irritant to the lips therefore resulting in the plumping. these products typically work by irritating the thin delicate skin of the lips with ingredients like menthol or camphor. this makes the lips swell slightly which may also diminish the appearance of fine lines in that area. lip filler procedures provide immediate results that should last for up to six months after which time you may need a top-up to maintain the volume. initially there will be some swelling and sometimes bruising in the lip area from the injections. this should quickly subside to reveal your full and plump lips. some of the most common side effects of collagen lip injections are instances where lips swell or bruise after treatment. there can also be bruising around the sides of the mouth depending on the material that is used and the method of injection as well as how the body handles the foreign material. some patients can be allergic to some aspects of collagen lip injections and that can cause excessive swelling or related side effects it’s generally not a good idea to ignore the warning signs of complications from this process which could cause a patient long-term harm. consult a doctor before selecting one of these treatments to talk about lip injections or lip plumpers and what kinds of potential side effects may result.	i want larger-looking lips. should i go with a lip plumper or filler?
why? lol the doctors response made me chuckle. the answer is yes you can. however i am a bit curious as to why myself. make extra sure that you do not do anything remotely dangerous as if you take both of these you'll probably be lucky to remember what planet your on. i would also suggest having someone around who is sober to make sure you dont make any foolish decisions. but ultimately to answer your question yes.	can i take valium and majijuana?
"you are probably not pregnant if everything you say is true but they only way to be absolutely sure is to take a pregnancy test if you miss your next period or have any other signs of pregnancy. a headache or lower abdominal pains are not definite signs of pregnancy. as a matter of fact the birth control pills can contribute to certain types of headaches. lower abdominal pain could be many other things from constipation and intestinal gas to bladder pain. this should be investigated if your symptoms persist or worsen. if you truly worried about an unintentional pregnancy insist that your boyfriend to always use a condom. (no glove. no love! ). given a firm non-negotiable choice of no sex or sex with a condom most men will use one. your birth control pill is an excellent form of contraception but it can be near-perfect if you have him use a condom. too many people don't seem to realize ""pulling out"" does not prevent pregnancy! sperm leaks out before a man fully ejaculates. not to mention ejaculation isn't that controllable. also the birth control isn't fully effective until you have taken it a full week after your period. even this isn't a solid law. things like that are affected by too many aspects. for instance: how long you have been using the same kind of birth control your diet how easily your body flushes estrogen etc. etc. i suggest you more fully educate yourself on the reproductive system and safe sex practices. nobody can tell you whether or not you are pregnant. if you want to know for sure take a pregnancy test."	am i pregnant? i had sex w/o a condom two days after my period ended and im on birth control & he said he pulled out. i've been on birth control since may my period ended two days before i had sex w/o a condom. i also started my new pack of birth control the day before. my boyfriend said he pulled out before anything happened but i'm still worried. i've been getting headaches and some lower abdominal pain as well.
no there is not a generic equivalent for this drug but there are many other similar drugs on the market for treating asthma. if cost is a factor (as it is for most people) your medical provider may be able to suggest an alternative that is less-expensive.	is there a generic drug for asmanex?
you don't have to be asking any questions; let her medical provider do that for you during an examination. finding a specific cause of severe pain is more than just asking questions. it is analyzing the answers and correlating those answers with physical examination findings lab tests and imaging studies. you did not provide any information about the type of pain location etc. that your daughter was experiencing so it is important that she see a medical professional.	my daughter is 12 and is in sever pain. what kinds of questions should i be asking before seeking medical attn.
in case you didn't know it ringworm isn't caused by a worm at all. ringworm is actually a skin fungus just like athlete's foot or jock itch. you can get ringworm in a variety of ways from sharing a towel with someone who's infected to touching damp surfaces that carry the fungus. the fungus that causes ringworm thrives in warm damp environments which is why it's frequently acquired in places like public pool common areas. to your question: you could catch ringworm from your friend even if you didn't touch the lesion. the reason is because the fungus could be infecting other areas of your friend's skin but not showing the characteristic ring mark yet. if you have thoroughly washed and dried the skin areas that came in contact with your friend you're probably not going to get ringworm. however be careful not to share any sports gear or towels with your friend and be sure to wear flip-flops or other foot protection if you all are bathing in a common shower area or something like that. by the way ringworm will not clear up on its own. it needs to be treated with an anti-fungal preparation. your friend can try using an over-the-counter cream for athlete's foot (the generic name is miconazole) but if that doesn't help or if the ringworm starts spreading your friend should seek medical attention. in rare instances ringworm is best treated with a prescription medication. hope this helps! my daughter caught it from her friend 5 yrs ago and it was from putting her slippers on. i never caught it tho when i rubbed the ointment on her back where it was. i immediately washed my hands tho too. i guess different people affected differently by things.	a friend contracted ringworm and i touched his skin but not the infected area. what are the chances of contracting it? . a friend of mine from a youth group i go to recently contracted ringworm on his arm. he was with the group tonight and had the area covered with a huge bandage yet he would peel the bandage off just enough for people to see the ring and then immediately put it back on. i never touched the infected area but i did come into skin-to-skin contact with him during a couple games and activities. i washed my hands face and other possible areas of contact with soap but will i get ringworm?
well as my dear collegue said if the patient is known to be infected hiv the possibilities of transmission will exist but at the same time many admitted patients do not know whether they r infected or not so i recommend you to do the hiv and hcv hbv tests to rule out the transmission… to be in the safe side 🙂	I cut my finger and may have been exposed to HIV, should I be tested?
pvcs need special attention if it is associated with underlying organic heart disease. if you have no such disease then you should not worry. regular follow ups is a must	I am having frequent PVCs and yet my doctor says not to worry?
"i suggest you contact your local state health insurance assistance program to gain a better understanding of the medicare ""red tape"" you're referring to and what you can do to move forward with treatment if appropriate. find your local program by visiting the medicare. gov medicare helpful contacts page or by calling 1-800-medicare (1-800-633-4227)."	73 yr old female that has heart trouble. needs knee replacement and drs say red tape at medicare- help what can we do? . she had chf and arrythemia. a dr recommended almost had her in an mri machine and she has a pacemaker. drs dont seem to want to touch her and they say because of medicares red tape she has to do therapy for 90 days and get all kinds of releases. etc. i uderstand why heart dr but we have been to 2 drs for knee repalcement and they dont seem to want to do anything and if they do they dont listem and her pacemaker was not compatible with the mri and the x ray tech is who caught that. help please
vitamin d is made when uv-b rays strike the skin. one general recommendation has been to have 20 minutes of sun exposure to [the] face arms legs or back twice a week during the most intense times for sun exposure (10:00 a. m. through 3:00 p. m. ). alas the amount of vitamin d that can be obtained this way can be limited by several factors. if one has dark skin uses an eight or greater spf sunscreen wears occlusive clothing or gets sun exposure only through window glass -- the amount of vitamin d is greatly decreased. if one lives above the 42nd parallel the months of november through february do not produce sufficient vitamin d even when the sun is not hidden by clouds. cloud cover shade and air pollution will further reduce the amount of uv-b. many of us prefer to get vitamins naturally from whole foods as opposed to supplements. some of the highest sources of vitamin d are listed below: cod liver oil one tablespoon = 1 360 iu. cooked salmon 3. 5 ounces = 400 iu. sardines in oil drained 1. 75 ounces = 250 iu. tuna in oil drained 3 ounces = 200 iu. vitamin d fortified orange juice 1 cup = 142 iu. vitamin d fortified milk 1 cup = 98 iu. vitamin d fortified yogurts 6 ounces = 80 iu. egg yolk one = 20 iu. for comparison the usual amount of vitamin d in a multivitamin pill is 400 iu (international units).	what are some common sources of vitamin d?
that depends on the severity of the fracture how it occurred neurological complications and the which vertebra was involved. since i don't know these answers only the medical provider who is treating you or this person could answer that question. there is no universal treatment. only individual treatment.	what is the treatment for a fracture of the lumbar vertibrae
acne scars will fade with age however you can make them fade faster with laser treatment. talk to your dermatologist about it. as for the small pimple-type bumps your dermatologist could prescribe you a topical cream.	how do i get rid of the mild to moderate acne scarring and large pores on my forehead? . i am 25 have an olive skin tone an oily/combination complexion and seem to scar more easily. i have some acne scarring on my forehead and also large pores (which turn into blackheads) all over my forehead. i have a pretty decent skin care regimen never had real acne but do have issues with small pimple-type bumps on my chin (not whiteheads not large not painful maybe cystic? ). i don't want my scarring to get worse and want to minimize my pores.
hi all radiating pains take same course however thoracic vertebra is not fixed as you might think there is some mobility to it so physical therapy can indeed help if it’s thoracic notice that even your feet position (angle) can affect biomechanics of the whole body good luck	I have had spine problems since an accident in 1992?
you are asking a question that could not be answered over the internet. we do not know anything about you your medical history. but more importantly we have no way of examining you and/or ordering any diagnostic tests. before attributing any medical condition to stress or anxiety a medical provider must first rule out all organic causes that could be attributed to your array of symptoms. i would strongly suggest that you see your medical provider -- someone who knows you and your medical history -- for a thorough diagnostic evaluation.	i sometimes feel breathless when sleeping on my side but i don't know if it's a health problem or just stress. over the past few weeks i've felt out-of-breath when falling asleep while lying on my right side. i wake up almost in a panic with my heart racing but i feel better when i sit up for a while and eventually can sleep like normal. this doesn't happen every night though and doesn't happen if i nap during the day. it also only started after i had a health scare (unrelated) while lying in bed which left me afraid to fall asleep. is this a real issue or just anxiety about what happened before?
i'm sorry to hear you're going through this. your symptoms definitely deserve to be checked out by your health care provider. any time a person develops a symptom like widespread loss of sensation to a body area it's a good idea to get examined. you can start with your primary care provider or whoever treated your utis. because your uti cleared up over a month ago i wouldn't think your symptom is some weird side effect of antibiotics. and i don't think antiperspirant use would cause loss of sensation either though if you're spraying it directly on your groin area you could try stopping that to see if sensation improves. at any rate i'd recommend you make an appointment with your health care provider for an exam. best wishes to you!	male 47 i had uti last month treated well. i have lost sensation in groin/penis. erection/ejuculate normal. pl advise. i had uti mild and uncomplictaed twice in one year but both time treated completely. second time the uti was mild in symptoms and the only problem was pain during ejuculation. i was treated with antibiotic for 10 days. after treatment pain disappeared and i felt normal. after one month i am feeling loss of feeling in entire groin. when i pinch skin around i feel less pain. incidently i have started using anti prespirant for last one month. does this possibly cause loss of feeling?
yes some propit change to lipid and make your belt bigger. see more here	could you provide a few links to the major studies showing excessive saturated fat is unhealthy? . this website and the american heart association continue to recommend a diet low in saturated fat. but the current buzz on the internet is that there is really little evidence for that position. in fact france eats a diet high in saturated fat yet has a low rate of deaths from heart disease (<link> <link> ). can i see links to the original studies showing sf is harmful?
hi have a good read through this post your find it should give a good clue for what's to come. <link> just copy link into google to the www. to open and read but things you can think on is you may have gone through the menopause and you may not even get some of the side effects you will read about as we are all very different to what happens to our body's. but do hope this helps you good luck	what happens after you stop the depo provera injections. i've been on the depo for almost 20! years. a new doctor cut me off as i have high blood pressure and have terrible anxiety issues going to doctors which raises it. i take bp at home and not as bad. i took for cysts on ovaries and haven't had any. i will be 50 in a month. may be a good thing but worried about side effects from being on so long? anything i need to watch out for?
hi having hashimotos does not mean you will definitely have a subsequent heart dises. we have seen hashimoto patients at our clinic who lead a absolutely normal life span without any complications. the outcome solely depends upon your body immunity and how well controlled the hashimotos is. thanks	I have hashimotos.  Am i going to have heart problems within few years?
these conditioning shampoos are designed to clean and condition in a single step. they may have both a negative charge and a positive charge so they can clean and condition at different ph values. they are best for persons with chemically treated hair or those who like to shampoo often. they work well for oily hair and are certainly as healthy for your hair as washing with a separate shampoo and conditioner.	are all-in-one shampoo and conditioners as healthy for my hair as washing with separate shampoos and conditioners?
well you should consult an orthopaedic surgeon as they expertise in such kind of cases however initially you can be advised physiotherapy sessions to improve the movement of the joint as well as relieving pain by strengthening the muscles and ligaments. in case if there is no improvement then surgical treatment can be done to relieve fusion and improve movement. hope this information helps. regards.	I had wrist surgery it was the biggest mistake of my life?
auricular acupuncture (ear) is practiced by many acupuncture therapists to treat a variety of maladies but i have never heard that piercing the earlobe or inserting ear jewelry in any part of the ear would be efficacious in treating migraines.	is there any validity to the idea that daith piercing of the ear can help migraine? . some believe that it may have similar benefits to acupuncture/pressure point therapy
good for you for performing a testicular self-exam. it's critically important to the early detection of cancer. that said i don't want you to immediately assume you have testicular cancer. you do need to get those lumps checked out by a doctor though. i'd suggest you make an appointment with your primary care provider as soon as possible. other conditions such as benign (non-cancerous) cysts can cause lumps in the scrotum. your health care provider will be able to diagnose what those lumps are and get you appropriate treatment. wishing you all the best!	i found lumps on my left testicle what could this mean? .
hi can you upload your sonar and mri? can really tell you what to do until i see them also upload your blood work thanks	I’m struggling for 2 years now with  pain in neck , doctors keep giving me something for infection and spasm but it doesn’t stop?
u were supposed to stay at hospital for at least 24 hours under supervision neck x ray and brain mri is mandatory	I hit my head, I have concussion, non stop headache, vomiting, constantly feel dizzy and this morning passed out?
the classic one -- prune juice.	what fruit juice acts as a laxative?
hi yes. almost all women have more vaginal discharge in pregnancy. this is quite normal and happens for a few reasons. during pregnancy the cervix (neck of the womb) and vaginal walls get softer and discharge increases to help prevent any infections travelling up from the vagina to the womb. towards the end of pregnancy the amount of discharge increases and can be confused with urine. in the last week or so of pregnancy your discharge may contain streaks of thick mucus and some blood. this is called a 'show' and happens when the mucus that has been present in your cervix during pregnancy comes away. it's a sign that the body is starting to prepare for birth and you may have a few small 'shows' in the days before you go into labour. increased discharge is a normal part of pregnancy but it's important to keep an eye on it and tell your doctor or midwife if it changes in any way. do hope this helps you. good luck	what does having a clear discharge during pregnancy mean?
"sorry but there is a possibility that you are. it was recommended by our doctor to get the ""first response"" pregnancy test at a drug store or walmart. first response was about $20. or less. she advised us that this one is most accurate. my best advice for you as a mom is to keep a calendar. be diligent about keeping up with the start and stop days of your monthy cycle. ejaculation or not semen carries sperm also. i suggest that you get on the computer and learn all that you can about sex. if there is someone who you can trust to educate you do that for your own information and safety! std's are a really big issue. don't assume that a person is disease free because you see no ""tell tale"" signs. read as much as you can! good luck!"	am i pregnant? . so i had unprotected sex with my boyfriend one day before my period started he did not ejaculate in me and usually my period lasts about 5-7 days and my cycle is about 27 days on average is it still possible for me to become pregnant?
colonoscopy is v imp to check what’s going on cbc and stool analysis should be done have u been examined for piles? = the blood in stool is it fresh or black is it streaking the stool or inside the stool ? do u feel pain in defecation or not?	I have been getting pain in the left side just below the second rib in the back?
hi before you took zithromax was you taken any other meds or vitamins just anything? this could be a part of your problem. now if you go to this link below and read down it your see a side effects is pain in the testicles now that's as far as it goes you would need to contact zithromax to find out more info on that just one line sorry second part of a line. <link> just copy into google to the www. to open and read. do hope this helps you. good luck ps the part you looking for follows pain in the vagina.	i have testicle pain what else could be wrong other then a std or any infection? . i have had full blood work including my thyroid and metabolites. i have had 2 urine cultures and 2 full panel std test including hiv. every test has said that there is no infection viruses or bacteria and my levels are normal. i have had testicle pain burning urination white discharge nausea burning in testicles and hips cold chills. i am not urinating more and it came back after taking zithromax 1 4 pill dose. i am all so constantly thirst but idk if related. what else might it be?
"a ""high specific gravity"" in a urine test means that your urine is very concentrated. you may need to drink more water and other fluids."	what does it mean when a urine dip stick test shows the highest specific gravity result? . all other results negative was done in am but was the third time person had urinated since getting out of bed. they had a small glass of water for breakfast and a 16 oz. cup of coffee before this urine sample was obtained. dip stick was done right after urination. thanks j
probably. it may be best to use a new vial of insulin that has been properly stored. not knowing the exact type of insulin you are using you can make a call to the pharmacy that supplies it for you. the pharmacist is an excellent resource to address you concern in a more patient-specific manner.	i accidentally ran my insulin vial through the wash in my jeans pocket. should i discard the vial? . washed in warm water
i do believe that your doctor has a wrong belief that surgery for a patient not on opioids is a must or better according to the american pain society new guidelines its okay to be on such drugs without a need to stop it…but i prefer not to assume anything untill you meet your doctor and discuss your concerns with him. may be he is having another justified explanation	Doctor placed an intrathecal pain pump implant for dilaudid & baclofen, is it justified?
you are mostly suffering a posterior horn of medial meniscial tear. it could happen after accidents or direct blunts of knees. i recommend seeing a physiotherapist or follow a program of strengthening quadriceps and stretching of hamstring muscles. knee mobilization. a knee mri can prove it. also if your knee gives way or locks can be confirming signs without mri.	I injured my leg in car accident, pain when I get up from sitting and after standing?
the mental health laws are pretty clear in most areas of the country. in order to be hospitalized against your will the patient must be a danger to themselves or others. your ex-husband is too slick to allow the occurrence of involuntary commitment. it sounds like you'll always care about this man and; that's ok. after all you married this man because you loved him and he'll always be the father of your children. at one time he probably was psychiatrically well and a high quality person. but unless he gets some type of professional help you must let him go and move on with your life. he can't help being sick and apparently is not ready to seek treatment. it sounds like you went through much hurt during your marriage to this man. please consider securing some type of therapy to recover from the years of physical abuse emotional turmoil and fear. life is very short even if you life to be 100 years old. it's time to experience joy. what not start your new life of happiness today?	what do you do when the person that has schizophreina wont get help and is becomming distructive and violet. my ex husband became so horrible and violet i had to leave him and get a divorce from him. i had to go into hiding with my children just to keep us safe. the police would never help us because he was not stupid and knew just how far he could go before getting into trouble. after the divorce. i had his rights terminated. he didn't even care was stone cold like a robot. he abused us beat us mentally hurt the children and much more. so what do you do with someone like this.
herpes simplex virus can be spread in that manner if this person had herpes and you were susceptible to getting it. since many people have antibodies for herpes already from a past infection (even from a child) you may not be susceptible. if you are then keep in mind that not all exposed people will get it. if you were exposed only time will tell. herpes can take several weeks to a few months after exposure before you may see an herpetic break out. sadly brushing your teeth using listerine and wiping off that pipe beforehand did not lower your risk.	can i get herpes from sharing a pipe? . so i just shared a pipe with a friend i suspect may have a cold sore on his lip. it was a visible scab he claimed it was from hot oil on his face but lets assume it is herpes. i would wipe off the tip of the glass pipe pretty good on my shirt and waited to hit it several seconds after passed to me. i am paranoid now. i just got home and brushed my teeth and used listerine. how likely is it i have herpes now?
assuming the prescription belongs to you you're in the early part of your pregnancy and your ob/gyn knows about it then you and your baby should be ok. many women take prescription opioids such as hydrocodone during pregnancy and these appear to be pretty safe. however using any pain relievers (even over-the-counter ones) late in pregnancy (third trimester) can be risky for both mother and fetus. you should get your ob/gyn's advice and direction on this subject. keep in mind it's never ok to take narcotics that have not been prescribed to you. pregnant or not you should only take narcotics under the supervision of a doctor or other qualified medical professional. wishing you well!	is it ok to use precription opiates while pregnant
yes! i started feeling the baby at 17 weeks. i'm 20 weeks now 5 months. <positive_smiley>	can you feel the baby after 5 mouth pregnancy
"if your clinic is no longer participating in medicare you can still get your care there but you will need to submit your bills to medicare on your own. in addition the clinic can ""balance bill"" you which means they can bill you for their expenses beyond what medicare would pay. you can try using your husband's retirement insurance as your primary coverage but most retirement policies act as a supplement to medicare -- meaning they pay after medicare does. more than likely you will need to submit your bills to medicare and wait for payment. your husband's insurance may cover the portion of the bill that exceeds medicare payment rates. i would get further clarification from your clinic that this is how it will work however."	we are in ca. i have medicare primary and am covered under my husband's retirement health insurance as second. however our clinic has informed us that it is dropping medicare. how will that affect me? will i just be able to use my husband's insurance and not use the medicare?
