answer	question
you need to make sure you keep your spine/back in a flat neutral position when you work out. if you don't you risk placing pressure on the spinal nerves which could cause the tingling you describe. of course it's possible the tingling is a normal part of working out too. whenever a person works the legs the muscles should feel somewhat painful or even tingly afterwards. that indicates you stressed the muscles well. but if you start having tingling or numbness in your lower extremities you should first assess the position of your back when you're working out. wishing you well!	i have been having tingling in my legs while sitting and laying down the last few days. i just started seeing a trainer. for the last 4 days my legs have had this tingling in my legs. it only happens when i am sitting down or in bed. when i am moving i am fine. i went to the doctor 2 days ago and she did not seem too concerned. she just told me to get some blood work done to check my vitamin levels. my eating habits are getting better i am trying to loose 30 pounds. i just started to see a trainer. we did mostly leg exercises so maybe i pinched something? that would be the only thing i can think of.
you need to see your medical provider so you can have this skin lesion properly examined. many skin conditions will mimic an ingrown hair. it may not have been an ingrown hair at all but a sebaceous cyst (oil gland) or other common penile skin lesions. if your penis is important to you and i know that it is get it checked out. use a penis health creme called man1 man oil. it is made just for the penis skin and both treats and prevents all sorts of issues down there like rashes bumps spots dryness chafing etc. it's real good stuff. it is antibacterial as well so it will definitely help if you have some sort of an infection down there. you can get it online. good luck.	i had an ingrown hair on the shaft of my penis i got it out but its not really healing what can i do to help it. its been about 2 months ive stopped any kind of sexual activity
home treatment for genital herpes focuses on relieving symptoms reducing the risk of recurrent outbreaks and helping you cope with a lifelong condition. to reduce discomfort from herpes sores: take warm sitz baths or wash the area with warm water 3 or 4 times a day. in between sitz baths keep the sores clean and dry. using a hair dryer to dry off the sores may be more comfortable than using a towel. wear cotton underpants which absorb moisture better than those made from synthetic material. nonprescription medicines may reduce the pain and fever from genital herpes. to lower the risk of recurrent outbreaks reduce or avoid factors that trigger outbreaks such as overexposure to sun fatigue irritation of the genital area and stress. finding out that you have genital herpes may cause you to have negative thoughts or feelings about yourself or about sex such as: feeling ashamed or embarrassed. being afraid of the consequences of the infection. being angry at the person who infected you. feeling frustrated with treatment or recurrent outbreaks. feeling scared to have sex. a counselor or support groups for people with herpes may be helpful. for more information see the other places to get help section of this topic. genital herpes can be bothersome. but if you are a healthy adult you do not need to worry that it will cause serious problems. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.	what can i do to treat genital herpes at home?
i'm sorry you're going through this. it's always scary when we have a problem with our eyes! the first thing to clarify is this: is it your actual eyeball that's twitching? or is it your eyelid? twitching of the eyelid is called blepharospasm and is quite common. it tends to come and go as you described. it can get worse and more frequent from time to time and then clear up for long periods. stress fatigue and caffeine are common culprits of blepharospasm. if it's your eyeball that's twitching that would be more worrisome to me. when a person's eyeballs twitch it's usually both of them. if your eyeball itself is the problem i'd advise you to see a doctor. i realize you said you don't have insurance but most communities have free or low-cost health care clinics. you could start by getting checked at one of those just to calm any fears you may have about this situation. i wish you all the best!	why is my right eyeball twitching? . started almost a year ago. very random. it has gotten more and more frequent over the last few weeks. now its more than a few times a day. no redness or swelling or tearing or any other symptoms. i do have astigmatism and when it does twitch my vision blurs slightly. no insurance though so i cannot even have it checked out til march. worried it could be something serious. would appreciate some advice.
hi such cysts usually do not go away with any home remedies. you can apply local creams but i dont think these will help. you are too young to neglect it. you should consult a doctor atleast your gp. taking home remedies will complicate the issue and then even if you dont want you will have to meet a doctor. so. better you get a consultation from a doctor in early stages. thanks	I have spermatocele cysts, don’t want to tell anyone – even my doctor?
im no doctor but the pull out method is always needed if u dont want to get pregnant! i got pregnant with my 4yr old son when i was on the shot for 2 years! hope this helps.	is sex safe without protection since i've been on birth control for over 7months or is the pullout still needed? . i want to make sure i don't get pregnant as i'm not in that stage of my life yet. is it safe for my spouse to release or is it not recommended. and if not recommended what can be used besides condoms and sponges? .
emphysema is a form of chronic (long-term) lung disease. people with emphysema have difficulty breathing from a limitation in blowing air out. there are multiple causes of emphysema but smoking is by far the most common. emphysema is the main type of chronic obstructive pulmonary disease. although emphysema has no cure quitting smoking reduces the rate of emphysema disease progression.	what is emphysema?
the only thing you really need to do is shower. and you don't even need to overdo the shower. just apply some soapy water and rinse thoroughly. it's highly unlikely you would get any sort of infectious disease from a cat urinating on you. maybe if you ingested the urine or something but not from simply getting it on your skin. it's not even likely you'd catch something if the urine contacted your vulva. so take a deep breath and jump in the shower. you'll be fine. wishing you well!	a stray cat urinated on my lap and i'm very worried since it's around and might have touched my vagina what do i do? . i was feeding a stray cat and after finishing it sat on my lap. i then realised that it urinated! i don't know what to do and i get paranoid very easily. i'm worried about any infectious diseases that i might get! should i be worried? is it dangerous?
the fda allow[s] a qualified health claim that evidence suggests – but does not prove - that eating 1. 5 ounces (43 grams) of nuts per day as part of a diet low in saturated fat and cholesterol reduces coronary heart disease risk. the government allows the claim on dietary labeling for specific nuts including almonds hazelnuts pecans pistachios walnuts peanuts and some pine nuts.	which nuts are most likely heart-healthy?
"it depends how long after actual ovulation. if one knows the actual date of ovulation conception can occur up to 72 hours after ovulation as sperm can live inside the cervix for up to 72 hours under ideal conditions. an oocyte/egg has at least a 48 hour lifespan after ovulation. as you may know the most likely time to conceive is about 14 days before the start of your next period. so if one had a regular 28 day cycle ovulation is around day 14; a regular 34 day cycle will have an ovulation around day 20. if one has a regular 24 day cycle ovulation can be as early as cycle day 10. the problem arises among women who have periods/bleeds which are not linked to an ovulation. these ""non-ovulatory bleeds"" can occur randomly as the too thick lining of the uterus begins to shed on its own. the woman in this case could have a bleed and then an ovulation anytime thereafter. an even more risky scenario would be the women who mistakes bleeding associated with the release of an egg/oocyte as a period. in that case she could get pregnant from intercourse during her ""supposed period"" because she is actually at a very fertile time. bottom line getting pregnant during a ""real"" period is unlikely--especially if it has been 14 days since ovulation occurred. if [there is a concern] do a reliable pregnancy test about two weeks after the date of intercourse. a urine test should be reliable around the time of [the] expected period. lastly if a woman is really scared about having an unplanned pregnancy the worry can cause her flow to be late. . a urine pregnancy test can help resolve any concerns."	can a women get pregnant after ovulation and while she is having her period?
"most helpful answer it would take a visual examination by a medical provider to determine the exact nature of your scrotal ""red blotch"". a brief description just doesn't do it. you may be correct about fungus -- common pathogen in this moist area would be a condition called tinea cruris. tinea cruris typically itches however but it can be very red moist and irritated. another possibility would be contact dermatitis often from a fabric softener detergent or soap. no young man really wants to go to a medical provider to get his scrotum examined but this is really the only way to be properly diagnosed and treated. jock itch is a possibility. however that rash is usually itchy so that makes me question whether you have jock itch or something else. since i cannot tell based on your description it is something you should get checked out by your doctor. here is more information about jock itch. thank you very much for your input i have determined that it is jock itch and am getting a corticosteroid and some fungal cream as well"	what does it mean when there is a red blotch on your scrotum? . hello i am a 16 year old male and just recently found a red blotch on my scrotum it isn't itchy and it is always moist i am not sure if the moisture is puss or sweat i think it might be some fungal infection or just jock rash but can someone tell me what i might have?
this article will answer both of your questions and much more about birth control pills.	how exactly does the birth control pill work? how long does it take to become an effective use of contraception?
exercise offers many benefits for people with alzheimer's disease. the major benefits include improved strength endurance and heart fitness. exercise can also increase energy and improve mood and sleep. exercise also helps people with alzheimer's disease preserve motor skills and improve balance which in turn can help prevent serious injury from falls. further exercise can help improve mental function. it is important to talk to the person's doctor before beginning any exercise program. there may be other factors -- such as bone disease a heart condition or balance problems -- that could limit or restrict activity.	is exercise recommended for someone with alzheimer's disease?
there are steps you can take at home to reduce your child's symptoms of bipolar disorder. keep your child's room quiet and have your child go to bed at the same time every night. control the amount of stress in your child's life. you may need to seek ways to help your child reduce academic requirements during severe mood swings. learn to recognize the early warning signs of your child's manic and depressive mood episodes. steps your child can take to help control moods include: getting enough exercise. during a depressive episode your child may feel like doing only gentle exercises such as taking a walk or swimming. getting enough sleep and keeping a consistent sleep schedule. eating a balanced diet. avoiding the use of alcohol or drugs. substance abuse makes bipolar disorder worse. avoiding beverages that contain caffeine including coffee tea colas and energy drinks. learning to recognize the early warning signs of manic and depressive mood episodes. asking for help from friends and family when needed. bipolar disorder in children: helping your child prevent manic episodes for some children with bipolar disorder depression can cause debilitating symptoms. for information about managing childhood depression see the topic depression in children and teens. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.	what can i do to treat bipolar disorder in childhood and adolescence at home?
hi this is stomach pain probably h. pylori infection even your face allergy is stomach related your symptoms have nothing to do with liver or gallbladder do a stool culture and an endoscopy good luck	I  feel pain at center upper of the abdominal and between two ribs?
"scientists are learning about the possible causes of bipolar disorder. most scientists agree that there is no single cause. rather many factors likely act together to produce the illness or increase risk. genetics bipolar disorder tends to run in families so researchers are looking for genes that may increase a person's chance of developing the illness. genes are the ""building blocks"" of heredity. they help control how the body and brain work and grow. genes are contained inside a person's cells that are passed down from parents to children. children with a parent or sibling who has bipolar disorder are four to six times more likely to develop the illness compared with children who do not have a family history of bipolar disorder. however most children with a family history of bipolar disorder will not develop the illness."	what are the risk factors for bipolar disorder?
scientists have identified eight types. in the us the main threats are hepatitis a hepatitis b and hepatitis c.	how many kinds of viral hepatitis are there?
hi you cannot label a 5 month old kid as having autism or mentally retarded. wait till he attains 1 year of age. he may have delayed milestones and happens in a few normal kids as well. thanks	My 5 month old baby doesn’t reach his development milestones?
maxillary sinus cyst management depends on its size and the manifestations. it can be left untreated if there is no related symptoms. in your case i think it could be the cause of most of your eye related problems so it must be treated specially if symptoms increased. my wishes with speedy recovery	I got a MRI of the brain and cervical spine, there is a 1.8 cm left maxillary sinus cyst, is it a concern?
u should consult your gynaecologist immediately u will most likely have to remove it and switch to another birth control method	I have the nexplenon birth control, I’m in pain?
doxycycline is not typically used for a kidney infection unless the urine culture specifically shows a pathogen sensitivity to this drug.	how long should i take doxycycline for kidney infection
hi a cold is a mild viral infection of the nose throat sinuses and upper airways ok and don't even think antibiotics as the say feed a cold starve a fever just drink lots eat as well as you can given time it will pass. good luck	what is a cold? is it a virus?
talk to the the manager of the pharmacy and bring those pills with you.	tywhat do i do if pharmacist gave me wrong pills and wont exchange them for my pills. i contacted them they said they dont have that kind of pill lies what can i do
no there is no guarantee the pain will go away. most people that have undergone back surgery will continue to have pain all their life. it will help but the pain will probably continue. the degree of pain will depend on how invasive the surgery is and how much damage has been done prior to having surgery	i have ddd in 5 c-disks 3 are ruptured. i have ra spinal stenosis and migraine like headaches. would surgery help? . i have told that a guarantee of the pain going away is not possible. please let me know if you need more details if the info i have provided is insufficient.
arthritis is inflammation in a joint. diagnosis is based on a history of joint pain stiffness and/or warmth redness or swelling and physical examination. the examination can demonstrate swelling and often limited range of motion of the joint. x-ray examination can support the diagnosis and often disclose the type of arthritis and it's severity. early diagnosis is important for early treatment. many types of arthritis can progress without treatment. this can lead to permanent destruction of cartilage bone and ligaments which can result in deformity and loss of function that is not reversible. moreover some forms of arthritis are associated with disease elsewhere in the body. to avoid injury to other body tissues early diagnosis can be crucial.	how is arthritis diagnosed?
"blood pressure is a measure of how hard your blood pushes against the walls of your arteries. if the force is too hard you have high blood pressure (also called hypertension ). when high blood pressure starts after 20 weeks of pregnancy it may be a sign of a very serious problem called preeclampsia. blood pressure is shown as two numbers. the top number ( systolic ) is the pressure when the heart pumps blood. the bottom number ( diastolic ) is the pressure when the heart relaxes and fills with blood. blood pressure is high if the top number is more than 140 millimeters of mercury (mm hg) or if the bottom number is more than 90 mm hg. for example blood pressure of 150/85 (say ""150 over 85"") or 140/95 is high. or both numbers can be high such as 150/95. a woman may have high blood pressure before she gets pregnant. or her blood pressure may start to go up during pregnancy. if you have high blood pressure during pregnancy you need to have checkups more often than women who do not have this problem. there is no way to know if you will get preeclampsia. this is one of the reasons that you are watched closely during your pregnancy. high blood pressure and preeclampsia are related but they have some differences. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated."	what are high blood pressure and preeclampsia?
ovaries and adrenal glands also produce testosterone but offcourse lower levels hopfully they will be adequate to being female you will notice somebmood swings (normal femal behaviour ) which is good actully for being a femal no worries ( just redo testosterone levels check periodicaly to avoid other complications )good luck	If I remove my testicles, will my testosterone production cease?
mmm probably not. if this gets bothersome in terms of pain or bleeding or blocking sinus drainage then i'd definitely recommend you get it checked out by a physician. if it persists for more than a few weeks you may also want to get it checked out. it's rare to get cancer in that area though not unheard of but i'd consider that a longshot. more likely it's a cyst or something similar to a zit. as always if you find this lump worrisome make an appointment with your primary healthcare provider and have it looked at. take care!	i have a hard lump in my left nostril on the wall between nostrils. should i be concerned? . it's not painful
yes. don't take if you don't need. taking prednisone for 2 years now my hip needs to be replaced at 33. the steroid eats away your bones and shuts your organs down slowly. and it also causes headaches because you wont be able to sleep and it will kill your appetite.	can i stop taking predisone if i only took 60 mg for one day? . i started taking prednisone today and i'm starting to notice my eyes are puffy also i'm feeling kinda hyper and very thirsty is this normal. i'm on it for two weeks and my dosage is 60 mg for five days then 50 for two and so on till there gone but i am concerned why do i feel this way and its only been less then a day it's for treatment of my migraines i'm wondering is it worth the troubles to continue it please help because i don't know what to do. many thanks
it’s hard to confirm a diagnosis for that over the internet without a medical history and clinical exam. it is most likely from some minute trauma somewhere in your mouth or perhaps an indication of some periodontal (gum) problem gingivitis. lots of other possibilities. you should visit a dentist.	My mouth just filled with dark red blood?
yeast itches and causes the foreskin to be red and irritated. what you are most likely seeing is smegma -- a normal cheesy-like accumulation that can form under the foreskin. this can even have an unpleasant odor. treatment? retract your foreskin and just wash it off with good ol' soap and and water.	i'm a uncircumcised male. 22 of age. i have noticed a reoccuring build up of plaque-like (yeast? ) how do i treat this?
"it is not good to sit on your anxiety and do nothing. yes it does cause emotional and physical pain. definitely. i've been through it still battle it and know what you mean. you must become proactive. get started immediately to help yourself. few people will understand how you feel. unfortunately. you will have to do a lot but not everything alone. maybe this (below) will help you in some way? i hope so. if money is a barrier and you are suffering which you seem to be consult with your doctor or a free clinic doctor about using a regimen of ipipromol - which is not a real expensive prescription. also it is not habit forming (get opinions from your doc to verify but often us docs do not know this item but they could look it up) like xanax or lorazepam and can lessen your anxiety level in a day or two (1) to help you sleep (for renewed energy) and (2) feel more normal and balanced to be able to map out a plan to deal more fully with your underlying problems. if you cannot afford a doctor you must find a free mental health clinic somewhere nearby that you can get to without too many hassles for some help with diagnoses. they are out there. even if you have to take a bus -whatever- make the effort! there is a reasonable chance that with anxiety there also is depression. both things should and must be treated to resume a truly ""normal life. "" it'll take time but don't hesitate to be active right now get started get on the phone see where you might get opipromol (it works quickly and is not too strong) and find that free mental health clinic. you can do it. get help from anyone willing and trustworthy. best of luck to you my friend. there is help out there somewhere. look for it right now."	"what do i do when my anxiety causes me mental and physical pain? . ive had anxiety since i was a kid. i dont take medications for it. i cant afford them. ive been trying to live with it and until recently ive done nothing about it. im tired of feeling like this its causing me emotional and physical pain. my relationships with friends and family members have been suffering. it often causes me to ""wig out"". when this occurs i have trouble breathing and chest pain. my whole mood just sours. i need help and i dont know whats wrong. what can i do?"
the symptoms of travelers' diarrhea vary. generally diarrhea occurs within the first week of travel and lasts up to three to four days. affected individuals on average pass up to five loose or watery bowel movements per day which may be associated with cramps. on occasion individuals may experience fever or bloody stools.	what are the symptoms of travelers' diarrhea?
the medicine would absorb through your skin and cause the side effect that way.	i use a gel on my knee for my arthritis but i understand that it can cause dirrhea but how can it using it on my skin
"your unusual question is unclear. are you wanting a medical provider to ""stretch"" your anal sphincter or do you have a stretched anal sphincter that needs treatment? please repost your question to clarify."	why is stretched anal sphincter refused treatment for men
the answer would depend on the type of blood pressure medication you are taking. i would not take a diuretic at bedtime for instance. since i do not know what you are taking i suggest that you call your medical provider or pharmacist for patient-specific advice.	what time of the day should blood pressure medications be taken?
"your cannabinoid levels have gone up. ""40 ng/ml"" means 40 nanograms per milliliter. ""66 ng/ml"" means 66 nanograms per milliliter. so there were more cannabinoids in the second urine test than in the first. hope that makes sense."	what does cannabinoids ur-mcnc: 40 ng/ml mean. my first urine test showed cannabinoids ur-mcnc: 40 ng/ml then 30 days later the results showed cannabinoids ur-mcnc: 66 ng/ml. my question is have my levels gone up or have they gone down?
i researched one of the many don-drowsy decongestants drixoral (generic name- pseudoephedrine ) on drugs. com. some brand names for this medicine include: chlor trimeton non-drowsy contac cold nasofed seudotabs siledrine sudefed and found in many other non-drowsy decongestants. some of the serious side-effects to be listed on their label include: fast pounding or uneven heartbeat severe dizziness or anxiety dangerously high blood pressure anxiety confusion fast- pounding or uneven heartbeat and severe dizziness. less serious side effects include: loss of appetite feeling restless or excited and sleep problems insomnia) a label warning states: avoid taking this medication if you also take diet pills caffeine pills or other stimulants (such as adhd medications). taking a stimulant together with a decongestant can increase your risk of unpleasant side effects. summary: this particular non-drowsy decongest seems to have similar properties and side effects seen in other non-drowsy decongestants; your husband’s sleep experience was more than likely due to the non-drowsy decongestant that he consumed; your characterization of the non-drowsy decongestant as possibly being stimulating seems to be a reasonable conclusion; and i would not take this type of medication during the evening hours prior to bedtime.	is it ok to take decongestants at bedtime? . i have a generic non-drowsy nasal decongestant from cvs and my husband is convinced it kept him awake when he took it with cold symptoms. i don't think its supposed to act as a stimulant is it?
hand washing. both flu and cold viruses are transmitted through microscopic droplets from an infected person's respiratory system. if people cough or sneeze into their hands (without a tissue) they can contaminate every surface they touch. if you touch that same surface you pick up the virus. if you rub your eyes or nose you've just infected yourself. to protect yourself and prevent spread of cold and flu viruses: wash your hands frequently. use an alcohol-based gel if you don't have access to water. cough and sneeze into a tissue or into your hands. wash your hands afterward. when you cough turn your head away from others. if you have a sudden sneeze bend your arm and sneeze into it. don't touch your eyes nose or mouth. wash any shared surfaces (like phones and keyboards) frequently. viruses can live on surfaces for several hours. stay away from crowds during cold and flu season.	how can i prevent a cold?
plus im 96 kg	Question: I am in withdrawal –  I did all cardiac tests-all normal- bp high?
"hi here is the answer you want. tubal ligation or tubectomy (also known as having one's ""tubes tied"" ( ligation )) is a surgical procedure for sterilization in which a woman's fallopian tubes are clamped and blocked or severed and sealed either method of which prevents eggs from reaching the uterus for implantation. see two ways of doing the same operation. hope its helpful. good luck anymore questions just come back through answer this above"	had a tubal ligation in 2010 is it possible that i can get pregnant. what is meant if the surgery is done correctly in one of 2 ways? what does this mean
this most likely is not amniotic fluid. there is not enough amniotic fluid to imagine what you are leaking is amniotic fluid. when you are pregnant there is an increase in vaginal discharge. this is most likely what is happening. .	i am about seven weeks pregnant and have started to leak a clear substance. could it be amniotic fluid?
hi you can have periods why your pregnant but these are very light periods that last only 3 days. but if you thin k this normal for you all you can is keep getting tested and see if nothing comes of this it may pay you to go on the bc pill for say 6 months to regulate your periods then come off them and try again after a month or 2 depending when your periods become regular. hope this helps you. good luck	can i be pregnant severe back and heavy bleeding. i have had a pregnancy test done and it reads negative. i have 2 kids and both pregnancy result showed negative for the first 3 months of pregnancy.
it could be due to the scar or vaginal dryness or span in vaginal ms use some lubricants like sweet almond oil u can undergo fenton procedure which is surgery if its due to the scar following the tearit happens with many women. no worries	After giving birth I have pain during intercourse, had first degree tear during birth?
